Wavelength (nm),QE_Q_Curve,QE_Bialkali
100,0.001614,0.002678
101,0.001614,0.002678
102,0.001614,0.002678
103,0.001614,0.002678
104,0.0016357715591090805,0.002678
105,0.0016579874357509994,0.002678
106,0.0016802033123929183,0.002678
107,0.0017024191890348372,0.002678
108,0.001724635065676756,0.002678
109,0.001746850942318675,0.002678
110,0.001769066818960594,0.002678
111,0.0017912826956025128,0.002678
112,0.0018134985722444317,0.002678
113,0.0018357144488863506,0.002678
114,0.0018579303255282695,0.002678
115,0.0018801462021701884,0.002678
116,0.0019023620788121073,0.002678
117,0.0019245779554540262,0.002678
118,0.0019467938320959451,0.002678
119,0.0019690097087378643,0.002678
120,0.001991225585379783,0.002678
121,0.00200631569664903,0.002678
122,0.0020133703703703702,0.002678
123,0.002020425044091711,0.002678
124,0.002027479717813051,0.002678
125,0.0020345343915343914,0.002678
126,0.0020415890652557317,0.002678
127,0.0020486437389770724,0.002678
128,0.0020556984126984127,0.002678
129,0.002062753086419753,0.002678
130,0.0020698077601410936,0.002678
131,0.002076862433862434,0.002678
132,0.002083917107583774,0.002678
133,0.0020909717813051144,0.002678
134,0.002098026455026455,0.002678
135,0.0021050811287477954,0.002678
136,0.0021121358024691356,0.002678
137,0.0021191904761904763,0.002678
138,0.002151482023968043,0.002678
139,0.0022133994673768313,0.002678
140,0.0022753169107856196,0.002678
141,0.002337234354194408,0.002678
142,0.002399151797603196,0.002678
143,0.0024610692410119844,0.002678
144,0.0025229866844207723,0.002678
145,0.0025849041278295606,0.002678
146,0.002646821571238349,0.002678
147,0.002708739014647137,0.002678
148,0.0027706564580559255,0.002678
149,0.0028325739014647138,0.002678
150,0.002894491344873502,0.002678
151,0.0029564087882822904,0.002678
152,0.0030183262316910786,0.002678
153,0.005174850746268641,0.002678
154,0.011191224489795839,0.002678
155,0.026576267605633825,0.002678
156,0.03186183098591551,0.002678
157,0.0371473943661972,0.002678
158,0.04243295774647888,0.002678
159,0.04771852112676056,0.002678
160,0.05300408450704225,0.002678
161,0.06287040414507766,0.002678
162,0.07856677720207242,0.002678
163,0.09090402388059694,0.002678
164,0.10001387462686562,0.002678
165,0.10912372537313428,0.002678
166,0.11823357611940295,0.002678
167,0.12734342686567163,0.002678
168,0.1364532776119403,0.002678
169,0.14556312835820898,0.002678
170,0.15467297910447764,0.002678
171,0.16378282985074633,0.002678
172,0.17289268059701499,0.002678
173,0.18168781486310306,0.002678
174,0.19011349934810956,0.002678
175,0.19853918383311606,0.002678
176,0.20696486831812255,0.002678
177,0.21539055280312908,0.002678
178,0.22381623728813557,0.002678
179,0.23224192177314207,0.002678
180,0.2406676062581486,0.002678
181,0.24659506584362137,0.002678
182,0.2518584403292181,0.002678
183,0.25712181481481483,0.002678
184,0.26238518930041155,0.002678
185,0.26764856378600826,0.002678
186,0.27134498734177215,0.002678
187,0.2749234683544304,0.002678
188,0.2785019493670886,0.002678
