Wavelength (nm),QE_Q_Curve
100,0.001614
101,0.001614
102,0.001614
103,0.001614
104,0.0016357715591090805
105,0.0016579874357509994
106,0.0016802033123929183
107,0.0017024191890348372
108,0.001724635065676756
109,0.001746850942318675
110,0.001769066818960594
111,0.0017912826956025128
112,0.0018134985722444317
113,0.0018357144488863506
114,0.0018579303255282695
115,0.0018801462021701884
116,0.0019023620788121073
117,0.0019245779554540262
118,0.0019467938320959451
119,0.0019690097087378643
120,0.001991225585379783
121,0.00200631569664903
122,0.0020133703703703702
123,0.002020425044091711
124,0.002027479717813051
125,0.0020345343915343914
126,0.0020415890652557317
127,0.0020486437389770724
128,0.0020556984126984127
129,0.002062753086419753
130,0.0020698077601410936
131,0.002076862433862434
132,0.002083917107583774
133,0.0020909717813051144
134,0.002098026455026455
135,0.0021050811287477954
136,0.0021121358024691356
137,0.0021191904761904763
138,0.002151482023968043
139,0.0022133994673768313
140,0.0022753169107856196
141,0.002337234354194408
142,0.002399151797603196
143,0.0024610692410119844
144,0.0025229866844207723
145,0.0025849041278295606
146,0.002646821571238349
147,0.002708739014647137
148,0.0027706564580559255
149,0.0028325739014647138
150,0.002894491344873502
151,0.0029564087882822904
152,0.0030183262316910786
153,0.005174850746268641
154,0.011191224489795839
155,0.026576267605633825
156,0.03186183098591551
157,0.0371473943661972
158,0.04243295774647888
159,0.04771852112676056
160,0.05300408450704225
161,0.06287040414507766
162,0.07856677720207242
163,0.09090402388059694
164,0.10001387462686562
165,0.10912372537313428
166,0.11823357611940295
167,0.12734342686567163
168,0.1364532776119403
169,0.14556312835820898
170,0.15467297910447764
171,0.16378282985074633
172,0.17289268059701499
173,0.18168781486310306
174,0.19011349934810956
175,0.19853918383311606
176,0.20696486831812255
177,0.21539055280312908
178,0.22381623728813557
179,0.23224192177314207
180,0.2406676062581486
181,0.24659506584362137
182,0.2518584403292181
183,0.25712181481481483
184,0.26238518930041155
185,0.26764856378600826
186,0.27134498734177215
187,0.2749234683544304
188,0.2785019493670886
189,0.28208043037974684
190,0.2842852300683371
191,0.2864619954441914
192,0.2886387608200456
193,0.2908155261958998
194,0.2919966559139785
195,0.2924859032258065
196,0.29297515053763445
197,0.2934643978494624
198,0.29395364516129036
199,0.2944428924731183
200,0.29493213978494626
201,0.29542138709677424
202,0.29591063440860216
203,0.29639988172043014
204,0.2968891290322581
205,0.29737837634408604
206,0.29730150330154076
207,0.29665850990462217
208,0.29601551650770364
209,0.29537252311078505
210,0.29472952971386646
211,0.2940865363169479
212,0.29344354292002933
213,0.2928005495231108
214,0.2921575561261922
215,0.2915145627292737
216,0.2908715693323551
217,0.2902285759354365
218,0.28958558253851796
219,0.28894258914159937
220,0.2873578934426229
221,0.28563248360655735
222,0.2839070737704918
223,0.28218166393442623
224,0.2804562540983606
225,0.27873084426229505
226,0.2770054344262295
227,0.27528002459016393
228,0.27355461475409837
229,0.2718220841638981
230,0.2700319401993355
231,0.26824179623477296
232,0.2664516522702104
233,0.26466150830564783
234,0.26287136434108527
235,0.2610812203765227
236,0.25929107641196014
237,0.2575009324473976
238,0.2556829523809524
239,0.2535448571428571
240,0.2514067619047619
241,0.24926866666666667
242,0.2484320102739726
243,0.24769331164383562
244,0.24695461301369862
245,0.24621591438356163
246,0.24547721575342465
247,0.24473851712328767
248,0.24399981849315067
249,0.2432611198630137
250,0.2425224212328767
251,0.24178372260273973
252,0.24104502397260272
253,0.24030632534246574
254,0.23956762671232876
255,0.23882892808219175
256,0.2384941453068592
257,0.23897943411552347
258,0.23946472292418772
259,0.239950011732852
260,0.24043530054151624
261,0.24092058935018051
262,0.24140587815884476
263,0.24189116696750904
264,0.24237645577617328
265,0.24286174458483756
266,0.2433470333935018
267,0.24407016370106763
268,0.2455068185053381
269,0.24694347330960853
270,0.248380128113879
271,0.24981678291814946
272,0.2512534377224199
273,0.2526403733183856
274,0.2539981087443946
275,0.2553558441704036
276,0.25671357959641256
277,0.25807131502242153
278,0.25942905044843045
279,0.26078678587443943
280,0.2621445213004484
281,0.2635022567264574
282,0.2647538170594837
283,0.2659620101010101
284,0.2671702031425365
285,0.26837839618406284
286,0.2695865892255892
287,0.2707947822671156
288,0.272002975308642
289,0.27321116835016834
290,0.2744193613916947
291,0.27529447350714886
292,0.27608631539108497
293,0.276878157275021
294,0.2776699991589571
295,0.2784618410428932
296,0.2792536829268293
297,0.28004552481076533
298,0.28083736669470144
